"","scenario","quantile","coupling_strength","Tpeak","count","any_tippings_prob","number_of_tippings_mean","number_of_tippings_sd","number_of_tippings_se","GIS_tip_prob","THC_tip_prob","WAIS_tip_prob","AMAZ_tip_prob","Tconv"
"57","CurPol-OS-1.5C",0.6,0.1,3.46,1000,0.774,1.359,0.990504972274294,0.031322517461087,0.361,0.245,0.497,0.256,1.62246
"58","CurPol-OS-1.5C",0.6,0.2,3.46,1000,0.782,1.574,1.15406059453386,0.0364946003657508,0.357,0.384,0.569,0.264,1.62246
"59","CurPol-OS-1.5C",0.6,0.3,3.46,1000,0.789,1.698,1.2183104203282,0.0385263582535422,0.342,0.464,0.607,0.285,1.62246
"60","CurPol-OS-1.5C",0.6,0.4,3.46,1000,0.8,1.789,1.23207020781975,0.038961480939474,0.326,0.521,0.627,0.315,1.62246
"61","CurPol-OS-1.5C",0.6,0.5,3.46,1000,0.815,1.909,1.21745685804516,0.0384993662441501,0.319,0.577,0.669,0.344,1.62246
"62","CurPol-OS-1.5C",0.6,0.6,3.46,1000,0.832,1.976,1.17932812008144,0.037293629681419,0.293,0.613,0.698,0.372,1.62246
"63","CurPol-OS-1.5C",0.6,0.7,3.46,1000,0.841,2.01,1.15031440190203,0.0363761353530474,0.273,0.638,0.716,0.383,1.62246
"64","CurPol-OS-1.5C",0.6,0.8,3.46,1000,0.862,2.054,1.10104327630493,0.0348180455553768,0.274,0.653,0.741,0.386,1.62246
"65","CurPol-OS-1.5C",0.6,0.9,3.46,1000,0.872,2.065,1.07234552497081,0.0339105429759673,0.274,0.647,0.75,0.394,1.62246
"66","CurPol-OS-1.5C",0.6,1,3.46,1000,0.886,2.07,1.0354574699968,0.0327440402542535,0.277,0.643,0.756,0.394,1.62246
"67","CurPol-OS-1.5C",0.7,0,3.65,1000,0.827,1.406,0.928453566973613,0.029360279733443,0.449,0.257,0.405,0.295,1.78628
"68","CurPol-OS-1.5C",0.7,0.1,3.65,1000,0.835,1.595,1.01489162229521,0.0320936910467619,0.432,0.275,0.59,0.298,1.78628
"69","CurPol-OS-1.5C",0.7,0.2,3.65,1000,0.849,1.855,1.15382247607953,0.0364870703990647,0.429,0.445,0.675,0.306,1.78628
